,Gender,Age
0,Male,19
1,Male,35
2,Female,26
3,Female,27
4,Male,19
5,Male,27
6,Female,27
7,Female,32
8,Male,25
9,Female,35
10,Female,26
11,Female,26
12,Male,20
13,Male,32
14,Male,18
15,Male,29
16,Male,47
17,Male,45
18,Male,46
19,Female,48
20,Male,45
21,Female,47
22,Male,48
23,Female,45
24,Male,46
25,Male,47
26,Male,49
27,Female,47
28,Male,29
29,Male,31
30,Male,31
31,Female,27
32,Female,21
33,Female,28
34,Male,27
35,Male,35
36,Female,33
37,Male,30
38,Female,26
39,Female,27
40,Female,27
41,Female,33
42,Male,35
43,Male,30
44,Female,28
45,Male,23
46,Male,25
47,Female,27
48,Male,30
49,Female,31
50,Female,24
51,Female,18
52,Female,29
53,Female,35
54,Female,27
55,Female,24
56,Female,23
57,Male,28
58,Male,22
59,Female,32
60,Male,27
61,Male,25
62,Female,23
63,Male,32
64,Female,59
65,Male,24
66,Male,24
67,Female,23
68,Female,22
69,Female,31
70,Male,25
71,Female,24
72,Female,20
73,Female,33
74,Male,32
75,Male,34
76,Male,18
77,Female,22
78,Female,28
79,Female,26
80,Male,30
81,Male,39
82,Male,20
83,Male,35
84,Female,30
85,Female,31
86,Male,24
87,Female,28
88,Male,26
89,Male,35
90,Male,22
91,Female,30
92,Male,26
93,Female,29
94,Female,29
95,Female,35
96,Female,35
97,Male,28
98,Male,35
99,Female,28
100,Male,27
101,Male,28
102,Female,32
103,Female,33
104,Female,19
105,Male,21
106,Female,26
107,Male,27
108,Male,26
109,Female,38
110,Female,39
111,Female,37
112,Male,38
113,Male,37
114,Male,42
115,Male,40
116,Male,35
117,Male,36
118,Male,40
119,Male,41
120,Female,36
121,Male,37
122,Female,40
123,Male,35
124,Female,41
125,Female,39
126,Male,42
127,Male,26
128,Male,30
129,Female,26
130,Male,31
131,Male,33
132,Male,30
133,Female,21
134,Female,28
135,Male,23
136,Female,20
137,Male,30
138,Female,28
139,Male,19
140,Male,19
141,Female,18
142,Male,35
143,Male,30
144,Female,34
145,Female,24
146,Female,27
147,Female,41
148,Male,29
149,Male,20
150,Female,26
151,Male,41
152,Male,31
153,Female,36
154,Male,40
155,Female,31
156,Male,46
157,Male,29
158,Male,26
159,Female,32
160,Male,32
161,Male,25
162,Female,37
163,Male,35
164,Female,33
165,Female,18
166,Female,22
167,Female,35
168,Male,29
169,Female,29
170,Male,21
171,Male,34
172,Female,26
173,Female,34
174,Female,34
175,Female,23
176,Female,35
177,Male,25
178,Male,24
179,Female,31
180,Male,26
181,Female,31
182,Female,32
183,Male,33
184,Female,33
185,Male,31
186,Female,20
187,Female,33
188,Male,35
189,Male,28
190,Male,24
191,Female,19
192,Male,29
193,Male,19
194,Male,28
195,Male,34
196,Female,30
197,Female,20
198,Male,26
199,Male,35
200,Male,35
201,Male,49
202,Female,39
203,Female,41
204,Female,58
205,Female,47
206,Female,55
207,Female,52
208,Female,40
209,Female,46
210,Female,48
211,Male,52
212,Female,59
213,Male,35
214,Male,47
215,Female,60
216,Male,49
217,Male,40
218,Female,46
219,Male,59
220,Female,41
221,Male,35
222,Male,37
223,Male,60
224,Female,35
225,Male,37
226,Female,36
227,Male,56
228,Female,40
229,Female,42
230,Female,35
231,Male,39
232,Male,40
233,Male,49
234,Female,38
235,Male,46
236,Male,40
237,Female,37
238,Female,46
239,Female,53
240,Male,42
241,Male,38
242,Female,50
243,Female,56
244,Female,41
245,Female,51
246,Female,35
247,Female,57
248,Male,41
249,Female,35
250,Female,44
251,Male,37
252,Female,48
253,Female,37
254,Female,50
255,Female,52
256,Female,41
257,Male,40
258,Female,58
259,Female,45
260,Female,35
261,Male,36
262,Female,55
263,Female,35
264,Male,48
265,Female,42
266,Male,40
267,Male,37
268,Female,47
269,Male,40
270,Female,43
271,Female,59
272,Male,60
273,Male,39
274,Female,57
275,Male,57
276,Male,38
277,Male,49
278,Female,52
279,Female,50
280,Female,59
281,Male,35
282,Male,37
283,Female,52
284,Male,48
285,Female,37
286,Female,37
287,Female,48
288,Male,41
289,Female,37
290,Male,39
291,Male,49
292,Male,55
293,Male,37
294,Female,35
295,Female,36
296,Male,42
297,Female,43
298,Male,45
299,Male,46
300,Female,58
301,Male,48
302,Female,37
303,Male,37
304,Female,40
305,Male,42
306,Female,51
307,Female,47
308,Male,36
309,Female,38
310,Female,42
311,Male,39
312,Female,38
313,Female,49
314,Female,39
315,Female,39
316,Female,54
317,Male,35
318,Male,45
319,Male,36
320,Female,52
321,Female,53
322,Male,41
323,Female,48
324,Female,48
325,Female,41
326,Male,41
327,Female,42
328,Male,36
329,Female,47
330,Male,38
331,Female,48
332,Male,42
333,Male,40
334,Male,57
335,Female,36
336,Male,58
337,Male,35
338,Female,38
339,Male,39
340,Female,53
341,Male,35
342,Female,38
343,Female,47
344,Male,47
345,Female,41
346,Male,53
347,Female,54
348,Male,39
349,Male,38
350,Female,38
351,Male,37
352,Female,42
353,Female,37
354,Male,36
355,Male,60
356,Male,54
357,Female,41
358,Male,40
359,Male,42
360,Male,43
361,Female,53
362,Female,47
363,Female,42
364,Male,42
365,Female,59
366,Female,58
367,Male,46
368,Male,38
369,Female,54
370,Female,60
371,Male,60
372,Female,39
373,Male,59
374,Female,37
375,Female,46
376,Female,46
377,Female,42
378,Male,41
379,Female,58
380,Male,42
381,Male,48
382,Female,44
383,Male,49
384,Female,57
385,Male,56
386,Female,49
387,Male,39
388,Male,47
389,Female,48
390,Male,48
391,Male,47
392,Female,45
393,Male,60
394,Female,39
395,Female,46
396,Male,51
397,Female,50
398,Male,36
399,Female,49
